id,type,isCreepy,파일명,대본
A-01,라디오 사연,FALSE,A-01,"3812님의 사연이네요.
'디제이님, 김치찌개랑 돈가스 가게 사이에서 15분째 서성이고 있어요. 사장님들이 쳐다보시는데 민망하네요. 제발 골라주세요.'
허허, 15분이면... 벌써 식사 절반은 하셨을 시간인데. 한국인은 밥심이라지만, 오늘은 돈가스 어떠세요? 오후에 스트레스받을 일 있을 때, 바삭한 거 씹으면서 넘겨버리는 거죠. 3812님, 더 고민하지 마시고 지금 바로 돈가스집 문 여세요. 맛있게 드십시오."
A-02,라디오 사연,FALSE,A-02,"이번엔 '봄바람' 님이 보내주셨습니다.
'옆자리 대리님이 탕비실만 가면 제 커피를 챙겨주세요. 어제는 믹스였는데 오늘은 아메리카노네요. 이거 저 좋아하는 거 맞죠?'
음~ 믹스에서 아메리카노라... 투자가 늘어났네요. 이 정도면 관심의 표현 맞습니다. 오늘 점심 드시고 슬쩍, '대리님, 커피 잘 마셨어요. 저녁은 제가 살게요' 하고 던져보세요. 대리님 표정이 어떻게 변하나 후기 기다리고 있을게요."
A-03,라디오 사연,FALSE,A-03,"아이디가 '퇴사마렵다' 님이시네요. 이름부터 절박함이 느껴집니다.
'우리 부장님, 입만 열면 라떼는 말이야 하시는데... 정작 본인은 80년대생이시거든요. 듣고 있자니 귀에서 피가 날 것 같아요.'
직장인이라면 누구나 공감하죠. 사실 그 '라떼'는 본인이 외로워서 타시는 걸 수도 있어요. '퇴사마렵다'님, 그냥 라디오 주파수 맞추듯이 한 귀로 듣고 한 귀로 흘려보내세요. 고개만 끄덕여주시고, 속으론 오늘 저녁 메뉴 생각하는 겁니다. 힘내세요."
A-04,라디오 사연,FALSE,A-04,"7788님 사연입니다.
'큰맘 먹고 6개월 치 헬스를 끊었는데, 샤워하러 딱 세 번 갔습니다. 관장님이 저를 기부천사라고 부른대요.'
관장님께 아주 따뜻한 겨울을 선물하셨군요. 괜찮습니다. 운동은 원래 내일부터 하는 거고, 다이어트는 포토샵이 해주는 거니까요. 괜히 자책해서 스트레스받지 마시고, 오늘은 그냥 맛있는 거 드세요. 기분이 좋아야 살도 빠지는 법입니다."
A-05,라디오 사연,FALSE,A-05,"월요병환자' 님이 보내주셨어요.
'일요일 저녁만 되면 심장이 쿵쾅대고 식은땀이 나요. 내일 출근할 생각만 하면 토할 것 같습니다.'
그 기분 저도 잘 알죠. 일요일 밤 공기는 유독 무거운 것 같아요. 하지만 우리 통장을 스쳐 지나간 카드값들이 우릴 기다리고 있잖아요? 그 친구들을 위해서라도 눈 딱 감고 내일 하루만 버텨봅시다. 그러다 보면 또 주말이 와 있을 거예요."
A-06,라디오 사연,FALSE,A-06,"9910님. 
'작년에 입던 코트 주머니에서 꼬깃꼬깃한 5만 원짜리 발견했어요! 과거의 제가 용돈을 숨겨놨나 봐요.'
와, 5만 원이면 꽤 큰데요? 작년 겨울의 9910님이 미래를 위해 적금을 들어두셨네요. 이런 날은 가볍게 복권 한 장 사보시는 것도 좋죠. 그 기분 좋은 에너지 그대로, 이번 주 내내 행운이 따르길 바라겠습니다. 축하드려요."
A-07,라디오 사연,FALSE,A-07,"이번 사연은 '슈퍼맘' 님입니다.
'잠깐 화장실 다녀온 사이에 애들이 벽지에 매직으로 그림을 그려놨어요. 전세집인데... 집주인 아주머니 얼굴이 떠오릅니다.'
아이고... 댁에 리틀 피카소가 살고 있었네요. 혼낼 수도 없고 참 난감하시겠습니다. 일단 아이들한텐 잘 그렸다고 칭찬해주시고, 집주인분께는 최대한 정중하게 말씀드려 봐야죠. 슈퍼맘님, 오늘 밤엔 육아 퇴근하시고 시원한 맥주 한 잔 꼭 드세요. 고생하셨습니다."
A-08,라디오 사연,TRUE,A-08,"자, 이번엔 4444님이 보내주셨네요.
'퇴근길 횡단보도 건너편에 저랑 똑같이 생긴 사람이 서 있었어요. 옷차림부터 가방까지요. 근데 신호가 바뀌었는데도 안 건너고, 저를 보며 웃고 있더라고요.'
자신과 똑같은 사람을 세 번 만나면 죽는다는 이야기, 들어보셨죠? 그런데 그거 아세요? 원래 가짜는 진짜를 만나면 웃음을 참지 못한대요. 이제 곧 자기가 진짜가 될 수 있으니까, 너무 기쁜 거죠. 4444님, 오늘 현관 비밀번호 꼭 바꾸세요. 그 사람이 먼저 들어가 버리면, 그때부터는 4444님이 세상에서 지워지는 겁니다."
A-09,라디오 사연,TRUE,A-09,"강남구 K님의 사연입니다.
'윗집에서 매일 새벽 2시만 되면 무거운 자루를 질질 끄는 소리가 들려요. 쿵, 쿵, 하고요. 근데 윗집은 3년째 비어있거든요.'
관리실 정보가 좀 늦네요. 비어있는 게 아니라... 산 사람이 안 사는 거겠죠. 그분도 새벽에 이사하시느라 얼마나 힘들겠어요. 다리 한 짝 없는 몸으로 무거운 걸 끌고 다니려니 소리가 날 수밖에요. 오늘 밤엔 올라가서 좀 도와드리세요. 혹시 알아요? 고맙다고 그 자루 안에 K님을 넣어줄지. 이웃끼리 돕고 살아야죠."
A-10,라디오 사연,TRUE,A-10,"마지막은 '당근주세용' 님의 사연이네요.
'앤틱 전신 거울을 중고로 샀는데, 기분 탓인지 거울 속 제 표정이 저보다 0.5초 늦게 움직여요. 제가 안 웃는데 거울 속 저는 미소 짓고 있고요.'
흠... 득템하셨네요. 요즘 보기 드문 '자아 있는 거울'인 것 같습니다. 그 친구가 아직 로딩 중인가 봐요. 너무 놀라지 마시고, 오늘 밤 불 다 끄고 거울 앞에서 가위바위보 한번 해보세요. 만약 거울 속 친구가 이기면... 음, 그땐 그 친구가 님의 몸을 차지하러 나올 테니, 뒤도 돌아보지 말고 도망치셔야겠죠? 노래 듣고 오겠습니다."
A-11,라디오 사연,TRUE,A-11,"이번엔 '냥이집사' 님의 사연입니다. 
'디제이님, 저희 집 고양이가 자꾸 허공을 보고 하악질을 해요. 아무것도 없는 구석인데 털을 바짝 세우고 경계하네요. 벌레라도 있는 걸까요?' 
하하, 고양이들은 참 예민하죠. 우리 눈에 안 보이는 작은 친구들을 잘 보잖아요. 그런데 집사님, 고양이가 구석을 보고 짖는 건 괜찮아요. 정말 무서운 건, 고양이가 집사님 바로 뒤통수를 보고 하악질을 할 때죠. 만약 지금 그렇다면... 절대 뒤돌아보지 마시고 그냥 눈 감으세요. 그것과 눈이 마주치면 고양이도 집사님을 못 지켜주거든요."
A-12,라디오 사연,TRUE,A-12,"마포구에서 J님이 보내주셨네요. 
'새벽에 물 마시러 나왔는데, 현관 센서등이 자꾸 혼자 켜졌다 꺼졌다 해요. 바람 때문일까요? 무서워서 잠이 다 깼어요.' 
아이고, 센서등이 너무 예민한가 보네요. 아니면 J님을 반겨주고 싶었나 봐요. 긍정적으로 생각하세요. 집에 J님 말고 또 다른 입주민이 계신 거죠. 그분도 밤에 산책 나가시려나 봅니다. 다음에 또 불이 켜지면, 허공에 대고 '안녕히 다녀오세요' 하고 인사 한번 건네보세요. 혹시 알아요? 그분이 고맙다고 J님 잘 때 머리카락이라도 쓰다듬어 주실지."
A-13,라디오 사연,TRUE,A-13,"다음은 'ASMR' 님 사연입니다. 
'자고 일어났는데 수면 앱에 이상한 소리가 녹음됐어요. 저는 혼자 사는데, 낯선 남자가 중얼거리는 소리가 10분 넘게 찍혀 있네요. 잠꼬대겠죠?' 
음~ 잠꼬대치고는 너무 길었나 보네요. 그런데 'ASMR' 님, 그거 삭제하지 마세요. 잘 들어보면 숫자를 세고 있는 걸 수도 있거든요. 그 숫자가 다 끝나면 J님을 깨우러 올 텐데... 굳이 미리 알고 깰 필요는 없잖아요? 오늘은 이어폰 꽂고 주무시는 게 좋겠습니다. 꿀잠 주무세요."
